head_label,head_tag,depth,iter,probe_tail,exit_code,stdout_head
L2,chain-bench-l2-step2,2,0,"nsert(0, '/opt/agent'); import step1; print(step1.SIGNATURE)",0,step1@v0.5-phase5
L2,chain-bench-l2-step2,2,0,"nsert(0, '/opt/agent'); import step2; print(step2.SIGNATURE)",0,step2@v0.5-phase5
L2,chain-bench-l2-step2,2,1,"nsert(0, '/opt/agent'); import step1; print(step1.SIGNATURE)",0,step1@v0.5-phase5
L2,chain-bench-l2-step2,2,1,"nsert(0, '/opt/agent'); import step2; print(step2.SIGNATURE)",0,step2@v0.5-phase5
L2,chain-bench-l2-step2,2,2,"nsert(0, '/opt/agent'); import step1; print(step1.SIGNATURE)",0,step1@v0.5-phase5
L2,chain-bench-l2-step2,2,2,"nsert(0, '/opt/agent'); import step2; print(step2.SIGNATURE)",0,step2@v0.5-phase5
L2,chain-bench-l2-step2,2,3,"nsert(0, '/opt/agent'); import step1; print(step1.SIGNATURE)",0,step1@v0.5-phase5
L2,chain-bench-l2-step2,2,3,"nsert(0, '/opt/agent'); import step2; print(step2.SIGNATURE)",0,step2@v0.5-phase5
L2,chain-bench-l2-step2,2,4,"nsert(0, '/opt/agent'); import step1; print(step1.SIGNATURE)",0,step1@v0.5-phase5
L2,chain-bench-l2-step2,2,4,"nsert(0, '/opt/agent'); import step2; print(step2.SIGNATURE)",0,step2@v0.5-phase5
L2,chain-bench-l2-step2,2,5,"nsert(0, '/opt/agent'); import step1; print(step1.SIGNATURE)",0,step1@v0.5-phase5
L2,chain-bench-l2-step2,2,5,"nsert(0, '/opt/agent'); import step2; print(step2.SIGNATURE)",0,step2@v0.5-phase5
L2,chain-bench-l2-step2,2,6,"nsert(0, '/opt/agent'); import step1; print(step1.SIGNATURE)",0,step1@v0.5-phase5
L2,chain-bench-l2-step2,2,6,"nsert(0, '/opt/agent'); import step2; print(step2.SIGNATURE)",0,step2@v0.5-phase5
L2,chain-bench-l2-step2,2,7,"nsert(0, '/opt/agent'); import step1; print(step1.SIGNATURE)",0,step1@v0.5-phase5
L2,chain-bench-l2-step2,2,7,"nsert(0, '/opt/agent'); import step2; print(step2.SIGNATURE)",0,step2@v0.5-phase5
L2,chain-bench-l2-step2,2,8,"nsert(0, '/opt/agent'); import step1; print(step1.SIGNATURE)",0,step1@v0.5-phase5
L2,chain-bench-l2-step2,2,8,"nsert(0, '/opt/agent'); import step2; print(step2.SIGNATURE)",0,step2@v0.5-phase5
L2,chain-bench-l2-step2,2,9,"nsert(0, '/opt/agent'); import step1; print(step1.SIGNATURE)",0,step1@v0.5-phase5
L2,chain-bench-l2-step2,2,9,"nsert(0, '/opt/agent'); import step2; print(step2.SIGNATURE)",0,step2@v0.5-phase5
L3,chain-bench-l3-step3,3,0,"nsert(0, '/opt/agent'); import step1; print(step1.SIGNATURE)",0,step1@v0.5-phase5
L3,chain-bench-l3-step3,3,0,"nsert(0, '/opt/agent'); import step2; print(step2.SIGNATURE)",0,step2@v0.5-phase5
L3,chain-bench-l3-step3,3,0,'/opt/agent'); import step3; print(step3.run()['signature']),0,step3@v0.5-phase5
L3,chain-bench-l3-step3,3,1,"nsert(0, '/opt/agent'); import step1; print(step1.SIGNATURE)",0,step1@v0.5-phase5
L3,chain-bench-l3-step3,3,1,"nsert(0, '/opt/agent'); import step2; print(step2.SIGNATURE)",0,step2@v0.5-phase5
L3,chain-bench-l3-step3,3,1,'/opt/agent'); import step3; print(step3.run()['signature']),0,step3@v0.5-phase5
L3,chain-bench-l3-step3,3,2,"nsert(0, '/opt/agent'); import step1; print(step1.SIGNATURE)",0,step1@v0.5-phase5
L3,chain-bench-l3-step3,3,2,"nsert(0, '/opt/agent'); import step2; print(step2.SIGNATURE)",0,step2@v0.5-phase5
L3,chain-bench-l3-step3,3,2,'/opt/agent'); import step3; print(step3.run()['signature']),0,step3@v0.5-phase5
L3,chain-bench-l3-step3,3,3,"nsert(0, '/opt/agent'); import step1; print(step1.SIGNATURE)",0,step1@v0.5-phase5
L3,chain-bench-l3-step3,3,3,"nsert(0, '/opt/agent'); import step2; print(step2.SIGNATURE)",0,step2@v0.5-phase5
L3,chain-bench-l3-step3,3,3,'/opt/agent'); import step3; print(step3.run()['signature']),0,step3@v0.5-phase5
L3,chain-bench-l3-step3,3,4,"nsert(0, '/opt/agent'); import step1; print(step1.SIGNATURE)",0,step1@v0.5-phase5
L3,chain-bench-l3-step3,3,4,"nsert(0, '/opt/agent'); import step2; print(step2.SIGNATURE)",0,step2@v0.5-phase5
L3,chain-bench-l3-step3,3,4,'/opt/agent'); import step3; print(step3.run()['signature']),0,step3@v0.5-phase5
L3,chain-bench-l3-step3,3,5,"nsert(0, '/opt/agent'); import step1; print(step1.SIGNATURE)",0,step1@v0.5-phase5
L3,chain-bench-l3-step3,3,5,"nsert(0, '/opt/agent'); import step2; print(step2.SIGNATURE)",0,step2@v0.5-phase5
L3,chain-bench-l3-step3,3,5,'/opt/agent'); import step3; print(step3.run()['signature']),0,step3@v0.5-phase5
L3,chain-bench-l3-step3,3,6,"nsert(0, '/opt/agent'); import step1; print(step1.SIGNATURE)",0,step1@v0.5-phase5
L3,chain-bench-l3-step3,3,6,"nsert(0, '/opt/agent'); import step2; print(step2.SIGNATURE)",0,step2@v0.5-phase5
L3,chain-bench-l3-step3,3,6,'/opt/agent'); import step3; print(step3.run()['signature']),0,step3@v0.5-phase5
L3,chain-bench-l3-step3,3,7,"nsert(0, '/opt/agent'); import step1; print(step1.SIGNATURE)",0,step1@v0.5-phase5
L3,chain-bench-l3-step3,3,7,"nsert(0, '/opt/agent'); import step2; print(step2.SIGNATURE)",0,step2@v0.5-phase5
L3,chain-bench-l3-step3,3,7,'/opt/agent'); import step3; print(step3.run()['signature']),0,step3@v0.5-phase5
L3,chain-bench-l3-step3,3,8,"nsert(0, '/opt/agent'); import step1; print(step1.SIGNATURE)",0,step1@v0.5-phase5
L3,chain-bench-l3-step3,3,8,"nsert(0, '/opt/agent'); import step2; print(step2.SIGNATURE)",0,step2@v0.5-phase5
L3,chain-bench-l3-step3,3,8,'/opt/agent'); import step3; print(step3.run()['signature']),0,step3@v0.5-phase5
L3,chain-bench-l3-step3,3,9,"nsert(0, '/opt/agent'); import step1; print(step1.SIGNATURE)",0,step1@v0.5-phase5
L3,chain-bench-l3-step3,3,9,"nsert(0, '/opt/agent'); import step2; print(step2.SIGNATURE)",0,step2@v0.5-phase5
L3,chain-bench-l3-step3,3,9,'/opt/agent'); import step3; print(step3.run()['signature']),0,step3@v0.5-phase5
Flat,chain-bench-flat,1,0,"nsert(0, '/opt/agent'); import step1; print(step1.SIGNATURE)",0,step1@v0.5-phase5
Flat,chain-bench-flat,1,0,"nsert(0, '/opt/agent'); import step2; print(step2.SIGNATURE)",0,step2@v0.5-phase5
Flat,chain-bench-flat,1,0,'/opt/agent'); import step3; print(step3.run()['signature']),0,step3@v0.5-phase5
Flat,chain-bench-flat,1,1,"nsert(0, '/opt/agent'); import step1; print(step1.SIGNATURE)",0,step1@v0.5-phase5
Flat,chain-bench-flat,1,1,"nsert(0, '/opt/agent'); import step2; print(step2.SIGNATURE)",0,step2@v0.5-phase5
Flat,chain-bench-flat,1,1,'/opt/agent'); import step3; print(step3.run()['signature']),0,step3@v0.5-phase5
Flat,chain-bench-flat,1,2,"nsert(0, '/opt/agent'); import step1; print(step1.SIGNATURE)",0,step1@v0.5-phase5
Flat,chain-bench-flat,1,2,"nsert(0, '/opt/agent'); import step2; print(step2.SIGNATURE)",0,step2@v0.5-phase5
Flat,chain-bench-flat,1,2,'/opt/agent'); import step3; print(step3.run()['signature']),0,step3@v0.5-phase5
Flat,chain-bench-flat,1,3,"nsert(0, '/opt/agent'); import step1; print(step1.SIGNATURE)",0,step1@v0.5-phase5
Flat,chain-bench-flat,1,3,"nsert(0, '/opt/agent'); import step2; print(step2.SIGNATURE)",0,step2@v0.5-phase5
Flat,chain-bench-flat,1,3,'/opt/agent'); import step3; print(step3.run()['signature']),0,step3@v0.5-phase5
Flat,chain-bench-flat,1,4,"nsert(0, '/opt/agent'); import step1; print(step1.SIGNATURE)",0,step1@v0.5-phase5
Flat,chain-bench-flat,1,4,"nsert(0, '/opt/agent'); import step2; print(step2.SIGNATURE)",0,step2@v0.5-phase5
Flat,chain-bench-flat,1,4,'/opt/agent'); import step3; print(step3.run()['signature']),0,step3@v0.5-phase5
Flat,chain-bench-flat,1,5,"nsert(0, '/opt/agent'); import step1; print(step1.SIGNATURE)",0,step1@v0.5-phase5
Flat,chain-bench-flat,1,5,"nsert(0, '/opt/agent'); import step2; print(step2.SIGNATURE)",0,step2@v0.5-phase5
Flat,chain-bench-flat,1,5,'/opt/agent'); import step3; print(step3.run()['signature']),0,step3@v0.5-phase5
Flat,chain-bench-flat,1,6,"nsert(0, '/opt/agent'); import step1; print(step1.SIGNATURE)",0,step1@v0.5-phase5
Flat,chain-bench-flat,1,6,"nsert(0, '/opt/agent'); import step2; print(step2.SIGNATURE)",0,step2@v0.5-phase5
Flat,chain-bench-flat,1,6,'/opt/agent'); import step3; print(step3.run()['signature']),0,step3@v0.5-phase5
Flat,chain-bench-flat,1,7,"nsert(0, '/opt/agent'); import step1; print(step1.SIGNATURE)",0,step1@v0.5-phase5
Flat,chain-bench-flat,1,7,"nsert(0, '/opt/agent'); import step2; print(step2.SIGNATURE)",0,step2@v0.5-phase5
Flat,chain-bench-flat,1,7,'/opt/agent'); import step3; print(step3.run()['signature']),0,step3@v0.5-phase5
Flat,chain-bench-flat,1,8,"nsert(0, '/opt/agent'); import step1; print(step1.SIGNATURE)",0,step1@v0.5-phase5
Flat,chain-bench-flat,1,8,"nsert(0, '/opt/agent'); import step2; print(step2.SIGNATURE)",0,step2@v0.5-phase5
Flat,chain-bench-flat,1,8,'/opt/agent'); import step3; print(step3.run()['signature']),0,step3@v0.5-phase5
Flat,chain-bench-flat,1,9,"nsert(0, '/opt/agent'); import step1; print(step1.SIGNATURE)",0,step1@v0.5-phase5
Flat,chain-bench-flat,1,9,"nsert(0, '/opt/agent'); import step2; print(step2.SIGNATURE)",0,step2@v0.5-phase5
Flat,chain-bench-flat,1,9,'/opt/agent'); import step3; print(step3.run()['signature']),0,step3@v0.5-phase5
